Nama Wilayah,Angka Morbiditas menurut Wilayah (Persen),,,,,
,2019,,,,,
ACEH,16.68,,,,,
Simeulue,12.46,,,,,
Aceh Singkil,16.81,,,,,
Aceh Selatan,16.16,,,,,
Aceh Tenggara,15.8,,,,,
Aceh Timur,17.96,,,,,
Aceh Tengah,19.75,,,,,
Aceh Barat,19.78,,,,,
Aceh Besar,10.09,,,,,
Pidie,16.3,,,,,
Bireuen,18.63,,,,,
Aceh Utara,17.21,,,,,
Aceh Barat Daya,18.89,,,,,
Gayo Lues,18.99,,,,,
Aceh Tamiang,15.15,,,,,
Nagan Raya,16.77,,,,,
Aceh Jaya,22.14,,,,,
Bener Meriah,23.46,,,,,
Pidie Jaya,22.82,,,,,
Kota Banda Aceh,14.9,,,,,
Kota Sabang,10.97,,,,,
Kota Langsa,17.15,,,,,
Kota Lhokseumawe,11.38,,,,,
Kota Subulussalam,11.99,,,,,
SUMATERA UTARA,11.97,,,,,
Nias,17.18,,,,,
Mandailing Natal,14.92,,,,,
Tapanuli Selatan,9.03,,,,,
Tapanuli Tengah,10.45,,,,,
Tapanuli Utara,9.58,,,,,
Toba Samosir,10.79,,,,,
Labuhan Batu,13.82,,,,,
Asahan,11.68,,,,,
Simalungun,13.98,,,,,
Dairi,10.6,,,,,
Karo,15.06,,,,,
Deli Serdang,10.13,,,,,
Langkat,12.06,,,,,
Nias Selatan,17.03,,,,,
Humbang Hasundutan,8.75,,,,,
Pakpak Bharat,12.33,,,,,
Samosir,9.49,,,,,
Serdang Bedagai,17.7,,,,,
Batu Bara,14.96,,,,,
Padang Lawas Utara,10.7,,,,,
Padang Lawas,11.2,,,,,
Labuhan Batu Selatan,15.86,,,,,
Labuhan Batu Utara,12.84,,,,,
Nias Utara,18.11,,,,,
Nias Barat,11.94,,,,,
Kota Sibolga,19.57,,,,,
Kota Tanjung Balai,11.88,,,,,
Kota Pematang Siantar,11.93,,,,,
Kota Tebing Tinggi,8.99,,,,,
Kota Medan,8.32,,,,,
Kota Binjai,10.31,,,,,
Kota Padangsidimpuan,17.41,,,,,
Kota Gunungsitoli,18.48,,,,,
SUMATERA BARAT,13.54,,,,,
Kepulauan Mentawai,15.21,,,,,
Pesisir Selatan,16.85,,,,,
Solok,12.65,,,,,
Sijunjung,11.59,,,,,
Tanah Datar,16.19,,,,,
Padang Pariaman,17.52,,,,,
Agam,11.17,,,,,
Lima Puluh Kota,17.47,,,,,
Pasaman,11.22,,,,,
Solok Selatan,19.81,,,,,
Dharmasraya,12.49,,,,,
Pasaman Barat,10.56,,,,,
Kota Padang,11.29,,,,,
Kota Solok,10.65,,,,,
Kota Sawah Lunto,10.89,,,,,
Kota Padang Panjang,16.89,,,,,
Kota Bukittinggi,13.72,,,,,
Kota Payakumbuh,11.18,,,,,
Kota Pariaman,13.37,,,,,
RIAU,12.19,,,,,
Kuantan Singingi,11.74,,,,,
Indragiri Hulu,13.62,,,,,
Indragiri Hilir,17.32,,,,,
Pelalawan,8.58,,,,,
Siak,11.32,,,,,
Kampar,11.08,,,,,
Rokan Hulu,11.74,,,,,
Bengkalis,9.28,,,,,
