Kabupaten/Kota,Rata-rata Pengeluaran Perkapita Seminggu Menurut Kelompok Daging Per Kabupaten/kota (Rupiah/Kapita/Minggu),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DAGING,,,,,,,Daging sapi,,,,,,,"Daging kambing, domba/biri-biri",,,,,,,Daging babi,,,,,,,Daging ayam ras,,,,,,,Daging ayam kampung,,,,,,,Daging segar lainnya,,,,,,,Daging diawetkan lainnya,,,,,,,"Tetelan, sandung lamur",,,,,,,"Lainnya ( hati, jeroan, iga, kaki, buntut, kepala, dsb)",,,,,,
,2018,2019,2020,2021,2022,2023,2024,2018,2019,2020,2021,2022,2023,2024,2018,2019,2020,2021,2022,2023,2024,2018,2019,2020,2021,2022,2023,2024,2018,2019,2020,2021,2022,2023,2024,2018,2019,2020,2021,2022,2023,2024,2018,2019,2020,2021,2022,2023,2024,2018,2019,2020,2021,2022,2023,2024,2018,2019,2020,2021,2022,2023,2024,2018,2019,2020,2021,2022,2023,2024
Simeulue,1507.94,2536.89,2021.22,1851.45,3433.26,3061.86,2027,130.27,517.34,93.85,266.95,267.81,222.01,15,13.12,-,-,-,-,1.67,-,-,-,-,-,-,-,-,542.64,767.67,766.4,535.69,1618.64,1715.74,875,734.05,1103.41,778.7,908.19,1081.38,1067.92,953,87.86,26.51,375.23,93.24,463.89,-,184,-,-,-,-,-,-,-,-,18.74,7.05,-,1.54,16.02,-,-,103.23,-,47.38,-,38.49,-
Aceh Singkil,3161.96,1816.19,3398.81,4030.94,5926.13,5324.23,4672,141.07,209.54,228.86,364.28,394.37,32.23,237,31.24,-,140.55,3.56,20.03,44.17,12,108.94,107.81,91.37,22.63,0.64,-,24,1947.38,1330.9,2503.81,2903.9,4147.65,4378.19,3197,668.11,152.7,370.25,678.32,1310.76,633.36,932,202.92,4.62,-,-,15.03,46.29,-,-,-,-,-,1.68,101.11,206,-,-,-,-,-,-,4,62.3,10.61,63.98,58.24,35.97,88.87,59
Aceh Selatan,875.94,1440.04,2735.19,1851.06,2349.96,2602.29,2896,-,72.24,-,117.69,125.87,127.37,321,24.91,-,-,17.02,-,4.89,-,-,-,-,-,19.67,-,-,419.64,891.5,1393.12,1040.45,1444.71,1733.93,2098,415.18,462.92,952.53,615.37,747.7,724.17,349,16.21,13.38,389.54,60.54,-,11.92,108,-,-,-,-,12,-,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Aceh Tenggara,4220.86,4829.47,4944.16,5433.72,5363.19,5480.93,6801,681.33,617.45,1106.42,442.51,873.23,1026.07,1179,53.69,97.59,44.25,158.24,212.26,626.3,88,312.42,374.09,139.6,552.54,422.03,259.51,582,2031.44,2232.39,2053.4,3228.9,2775.32,2599.39,3975,709.31,1309.51,1320.74,885.76,718.77,785.03,620,331.42,135.04,110.45,46.71,229.5,45.45,176,18.51,14.23,7.68,-,15.46,8.59,38,-,27.76,46.15,5.56,68.55,57.98,68,82.75,21.4,115.47,113.52,48.07,72.61,75
Aceh Timur,2451.62,2313.81,2188.94,2226.39,5580.89,4263.38,4447,515.31,669.14,178.72,119.32,726.55,317.78,823,43.04,-,139.44,27.03,228.77,116.25,69,2.1,-,-,-,-,-,-,1224.56,1115.6,1251.41,1491.11,2386.1,1988.26,2112,655.49,478.99,600.03,574.93,2075.43,1799.95,1376,11.12,41.74,11.03,-,40.38,-,-,-,-,-,-,45.98,4.22,31,-,-,-,-,20.14,2.54,-,-,8.34,8.32,14,57.53,34.38,38
Aceh Tengah,2958.26,2825.55,4924.44,5256.84,4043.4,4162.57,4511,445.55,167.79,964.74,774.59,481.91,993.58,575,-,-,260.3,160.33,21.67,99.49,58,-,-,-,-,12.55,-,21,1517.75,1901.17,2192.18,2602.05,2876.33,2648.76,2609,648.69,586.66,1195.72,842.46,517.81,343.74,960,317.43,160.58,226.61,744.94,107.83,-,82,-,-,-,-,3.42,12.91,195,7.01,9.36,25.43,52.03,2.31,64.1,12,21.83,-,59.46,80.45,19.58,-,-
Aceh Barat,2815.84,3115.17,4125.04,5878.02,5881.19,4699.67,5427,387.7,144.01,672.87,392.95,407.7,723.53,190,-,-,-,25.85,27.64,285.44,-,-,-,3.58,-,-,-,-,1686.97,1391.12,1752.25,2911.76,2763.48,2302.2,2638,486.01,1018.64,1275.21,1808.79,2212.09,1058.03,1999,255.16,447.91,316.91,619.39,362.68,308.22,484,-,62.88,19.4,25.26,70.44,-,15,-,40.31,66.59,88.73,37.15,4.85,93,-,10.31,18.23,5.29,-,17.41,9
Aceh Besar,3661.98,3939.52,4291.8,4683.05,4348.1,4318.32,5118,1401.24,1136.15,751.72,803.24,393.53,604.03,701,-,82.57,55.87,-,59.32,28.31,-,-,-,-,-,-,7.7,2,1979.65,2067.42,2342.46,2297.75,2882.1,2653.69,3132,224.92,519.66,1012.68,1333.03,752.2,784.16,1091,56.17,70.08,67.73,151.38,155.98,170.23,40,-,-,25.3,-,104.97,30.72,112,-,27.38,1.63,-,-,21.46,-,-,36.26,34.4,97.65,-,18.02,40
Pidie,1819.8,1646.68,2164.49,2931.54,3154.39,3004.19,3220,445.18,289.63,363.75,540.5,487.52,422.81,278,22.71,48.22,-,19.42,-,3.76,17,-,-,-,-,-,-,-,921.06,830.66,1446.51,1657.9,1542.82,1665.82,1922,235.76,255.95,210.47,509.41,1015.23,897.77,670,183.54,111.72,105.42,204.31,108.82,14.03,312,-,105.7,-,-,-,-,21,-,-,12.47,-,-,-,-,11.54,4.8,25.86,-,-,-,1
Bireuen,1731.04,2096.09,2570.82,4475.1,7113.25,3352.01,3979,246.11,410.4,688.1,934.15,1861.07,836.36,744,7.98,-,45.59,-,113.53,-,6,-,-,-,-,25.5,-,-,946.14,844.94,982.25,2143.08,2394.27,1499.72,1904,438.81,814.36,712.82,1268.66,2454.09,920.77,1043,77.94,26.4,142.06,67.66,211.29,31.8,180,-,-,-,20.3,28.47,7.09,88,-,-,-,-,16.13,20.78,-,14.07,-,-,41.25,8.9,35.49,14
Aceh Utara,1655.03,1963.19,2015.71,2576.19,3485.44,5215.39,3814,594.93,558.58,269.03,272.97,556.26,1136.6,294,-,19.69,57.32,51.2,93.81,2.72,56,5.11,-,-,-,-,-,-,749.23,1139.87,1188.13,1656.6,2061.68,2459.02,2386,287.62,200.04,480.04,519.24,661.76,1309.08,1036,18.14,45.01,21.2,9.41,43.28,236.63,12,-,-,-,-,-,24.24,18,-,-,-,5.69,20.74,3.32,-,-,-,-,61.09,47.91,43.79,11
Aceh Barat Daya,1567.76,1547.9,1904.74,2755.72,2127.6,1989.4,3518,-,3.14,73.89,389,-,202.32,339,-,8.8,24.34,-,-,1.91,-,-,-,-,-,-,-,-,922.7,663.03,1209.5,1780.65,1369.98,1203.76,1929,540.78,601.12,550.2,508.1,648.63,424.71,1143,98.31,271.82,46.8,77.96,108.98,156.71,88,-,-,-,-,-,-,10,-,-,-,-,-,-,6,5.98,-,-,-,-,-,3
Gayo Lues,8041.39,10866.68,8552.15,14284.47,13301.81,9659.93,9550,1859.24,1969.29,1507,2863.33,3764.95,2208.76,1805,367.83,327.28,243.15,320.82,476.82,168.27,109,10.91,7.45,-,-,-,-,24,3552.42,4454.03,3873.88,6323.64,5635.67,5124.76,5097,2060.83,3435.39,2577.28,4057.91,2990.12,1255.91,2349,186.04,582.81,255.23,580.21,333.51,691.78,68,-,-,39.73,-,3.22,204.89,30,-,21.53,19.5,87.3,54.44,5.56,29,4.11,68.9,36.39,51.25,43.08,-,38
Aceh Tamiang,2604.11,2588.47,2265.12,2668.53,3702.36,4144.48,4057,467.33,496.96,292.45,504.82,692.53,758.57,548,39.95,3.76,19.85,80.63,124.8,59.93,25,46.77,-,-,-,-,24.1,-,1834.38,1240.91,1069.86,1658.38,2048.93,2936.56,2892,180.36,829.21,863.66,402.96,779.29,276.8,492,4.2,-,1.08,-,13.07,4.6,78,3.44,-,-,-,20.93,40.09,1,25.97,17.63,-,11.84,-,-,-,1.71,-,18.21,9.89,22.81,43.83,20
Nagan Raya,3251.77,2975.88,5450.5,6655.92,12288.39,29600.14,14209,640.6,435.8,374.95,558.19,1646.11,9583.09,1742,-,-,41,-,209.65,1182.53,561,53.13,-,21.08,-,-,-,-,1972.8,1510.84,3219.33,3440.92,5103.35,6842.86,7369,453.9,728.16,1481.55,2340.55,4060.84,7485.62,3328,17.56,135.99,143.57,118.4,530.69,3099.49,624,4.43,56.33,-,-,53.73,699.31,248,71.91,93.55,114.24,128.72,447.36,274.24,82,37.45,15.21,54.79,69.14,236.67,432.99,255
Aceh Jaya,3060.15,3637.93,2903.65,4335.44,6255.52,4711.5,4743,348.19,724.28,300.08,606.07,364.19,452.37,530,-,62.01,7.41,-,45.67,-,-,-,76.2,-,-,-,-,-,1399.11,1630.88,1766.18,2080.33,2666.35,2537.18,2686,1206.09,1068.07,552.5,1322.19,2224.62,1161.05,1137,106.76,61.5,250.88,237.35,550.7,473.62,317,-,-,-,-,389.79,87.28,22,-,-,-,52.87,-,-,50,-,15,26.61,36.63,14.19,-,1
Bener Meriah,3626.85,3170.88,4514.15,3427.84,4632.01,4194.74,8418,1007.5,150.78,681.3,263.91,607.84,163.24,1205,56.88,42.81,123.37,43.87,38.74,-,46,-,-,-,-,-,-,-,1741.77,1774.11,2429.98,1920.54,2596.59,3332.11,5599,622.95,497.48,1081.1,1140.01,933.42,605.22,1480,197.75,705.69,180.48,41.39,405.69,78.69,33,-,-,-,-,49.72,15.47,3,-,-,-,-,-,-,51,-,-,17.93,18.12,-,-,-
Pidie Jaya,1603.27,2172.17,2218.07,3555.31,3755.42,3866.37,3436,63.54,67.63,327.65,354.86,110.24,406.67,89,-,-,-,-,27.39,139.32,301,8.38,-,-,-,-,-,-,886.09,892.81,996.08,1968.81,1913.24,2112.79,1946,605.61,1134.74,771.38,1161.54,1645.95,1055.71,917,39.64,77,115.61,52.41,58.6,25.08,183,-,-,-,-,-,-,-,-,-,-,17.68,-,23.01,-,-,-,7.36,-,-,103.8,-
Kota Banda Aceh,7746.49,5045.43,5098.1,8789.51,11429.85,8106.57,10456,2541.63,1852.72,1593.43,2873.52,5225.87,2653.62,2826,-,-,-,46.86,-,-,-,-,-,-,-,-,-,-,4845.79,2651.53,2591.46,4472.16,4891.7,4551.93,5424,316.47,316.83,701.17,1011.88,765.88,234.11,1185,-,14.92,147.74,100.42,33.25,210.86,390,36.92,40.17,-,143.07,368.79,435.63,519,-,169.26,4.02,25.16,-,-,2,5.69,-,60.28,116.43,144.37,20.42,110
Kota Sabang,2307.31,3636.12,4063.62,3727.92,7662.38,5491.05,5979,210.66,881.43,1085.82,222.1,2817.16,866.31,1023,-,-,15.05,82.52,-,-,-,-,-,23.45,-,9.23,35.05,-,1890.56,2031.59,2321.7,2787.94,3636.61,3848.12,4391,206.09,619.86,463.98,428.24,932.7,636.42,493,-,-,129.89,186.13,51.3,-,-,-,-,23.74,-,151.44,37.15,31,-,41.69,-,20.98,-,67.99,24,-,61.56,-,-,63.95,-,18
Kota Langsa,3376.27,2874.45,3787.16,3364.81,4521.68,4503.84,4521,534.3,543.85,900.63,850.58,911.92,562.69,472,98.76,48.06,22.7,32.62,46.01,30.12,-,24.71,-,-,-,-,-,-,2061.28,1829.26,1727.78,2074.48,2730.47,3781.52,3623,297.8,329.35,802.31,185.7,309.88,35.92,219,237.94,32.86,235.68,81.23,67.92,22.5,16,82.1,49.67,6.61,10.72,236.96,46.84,156,3.16,4.28,28.1,27.9,54.86,-,12,36.21,37.1,63.35,101.58,163.64,24.23,23
Kota Lhokseumawe,3809.61,2753.69,3408.66,4906.02,4267.03,4281.97,5865,315.29,581.8,640.25,1232.31,652.13,187.73,866,1.85,16.13,24.35,73.67,-,-,-,-,18.36,-,-,-,-,-,2869.2,1841.71,2174.52,2696.36,3172.97,3557.42,3869,602.89,214.07,510.33,836.34,375.27,181.75,707,11.33,20.83,-,20.17,11.79,29.55,209,-,7.33,-,30.35,52.56,196.31,190,-,42.94,24.14,0.48,-,14.41,13,9.05,10.52,35.08,16.34,2.31,114.8,10
Kota Subulussalam,2500.59,2658.87,2176.26,2968,4396.98,3532.5,3171,206.71,128.65,230.62,39.5,163.44,91.37,100,23.59,-,28.37,36.1,-,42.51,-,126.79,-,27.33,-,154.31,-,89,1327.82,1522.34,1340.79,2397.74,2977.99,2494.54,2211,739.25,991.5,503.8,366.97,957.92,759.94,642,76.43,16.38,45.35,85.98,45.87,78.57,5,-,-,-,-,97.45,31.53,85,-,-,-,11.39,-,-,-,-,-,-,30.32,-,34.05,38
